Theoretical Maximum (only face detection),,,,,Resnet 18,,,,,Resnet 50 ,,,,,Resnet 101,,,,
Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,
0.624675274,80,8.004158655,classifcation,,0.787029028,80,6.353005826,classifcation,,0.959774971,80,5.20955448,classifcation,,1.153187037,80,4.3358101,classifcation,
0.630418777,85,7.931235837,classifcation,,0.77806282,85,6.426216327,classifcation,,0.953592777,85,5.243328305,classifcation,,1.1454041,85,4.365271609,classifcation,
0.651108742,90,7.679208832,classifcation,,0.785933971,90,6.361857588,classifcation,,0.969080448,90,5.159530367,classifcation,,1.157040358,90,4.321370441,classifcation,
0.617610216,95,8.095721005,classifcation,,0.760505199,95,6.57457701,classifcation,,0.960333586,95,5.206524144,classifcation,,1.151623249,95,4.34169769,classifcation,
0.637913465,100,7.838053702,classifcation,,0.769387007,100,6.498680061,classifcation,,0.959024906,100,5.213628935,classifcation,,1.161954165,100,4.303095727,classifcation,
0.62164855,105,8.043129836,classifcation,,0.793771029,105,6.29904572,classifcation,,0.984897375,105,5.076671059,classifcation,,1.146953821,105,4.359373418,classifcation,
0.617603064,110,8.095814763,classifcation,,0.76221323,110,6.559844152,classifcation,,0.966392756,110,5.173879845,classifcation,,1.151059389,110,4.343824521,classifcation,
0.61932826,115,8.073263113,classifcation,,0.786780119,115,6.355015689,classifcation,,0.957621813,115,5.221267867,classifcation,,1.158804178,115,4.314792865,classifcation,
0.613881588,120,8.144893246,classifcation,,0.758225441,120,6.594344808,classifcation,,0.958773375,120,5.214996716,classifcation,,1.163308382,120,4.298086455,classifcation,
0.620580196,125,8.056976406,classifcation,,0.776545286,125,6.438774517,classifcation,,0.962748051,125,5.193466761,classifcation,,1.159068108,125,4.313810351,classifcation,
0.633669853,130,7.890544224,classifcation,,0.790878534,130,6.322083333,classifcation,,1.001506329,130,4.992479685,classifcation,,1.156148911,130,4.324702428,classifcation,
0.645897627,135,7.741164841,classifcation,,0.766916513,135,6.519614472,classifcation,,0.970420122,135,5.152407587,classifcation,,1.167658329,135,4.282074538,classifcation,
0.627413988,140,7.969219837,classifcation,,0.747232199,140,6.691360475,classifcation,,0.997594118,140,5.012058421,classifcation,,1.165571213,140,4.289742184,classifcation,
0.59602809,145,8.388866377,classifcation,,0.785460472,145,6.365692708,classifcation,,0.99450469,145,5.027628376,classifcation,,1.161637068,145,4.30427036,classifcation,
0.611047268,150,8.182673031,classifcation,,0.782394409,150,6.390638713,classifcation,,0.979696274,150,5.103622555,classifcation,,1.163940191,150,4.295753371,classifcation,
0.616383314,155,8.11183542,classifcation,,0.774099588,155,6.459117244,classifcation,,0.977211714,155,5.116598511,classifcation,,1.160856485,155,4.307164635,classifcation,
0.663280964,160,7.538283581,classifcation,,0.764667273,160,6.53879168,classifcation,,0.978990316,160,5.107302816,classifcation,,1.178470612,160,4.242787178,classifcation,
0.636858702,165,7.851035067,classifcation,,0.780378103,165,6.407150558,classifcation,,0.976296902,165,5.121392879,classifcation,,1.154897451,165,4.329388721,classifcation,
0.651430368,170,7.675417424,classifcation,,0.757482529,170,6.60081231,classifcation,,1.010290146,170,4.949073314,classifcation,,1.169172764,170,4.276527948,classifcation,
0.601982832,175,8.305884711,classifcation,,0.746800661,175,6.695227067,classifcation,,0.97186327,175,5.144756629,classifcation,,1.165449619,175,4.290189741,classifcation,
0.596197605,180,8.386481188,classifcation,,0.783340454,180,6.3829207,classifcation,,0.981431007,180,5.09460162,classifcation,,1.157171965,180,4.320878964,classifcation,
0.588395357,185,8.497687719,classifcation,,0.796952486,185,6.273899746,classifcation,,0.979331493,185,5.105523547,classifcation,,1.166764498,185,4.285354936,classifcation,
